CH	UCODE	CRZJ_1	INIT	FINL	TONE	DESC	DESC_CRZJ_1
龛	U+9F9B	hem1A|55	h	em	1A|55		
龜	U+9F9C	gwei1A|55	gw	ei	1A|55		
龜	U+9F9C	gwen1A|55	gw	en	1A|55		
龜	U+9F9C	keu1A|55	k	eu	1A|55		
龜	U+9F9C	geu1A|55	g	eu	1A|55		
龝	U+9F9D	ceu1A|55	c	eu	1A|55		
龞	U+9F9E	bit4Ab|3	b	it	4Ab|3		
龟	U+9F9F	gwei1A|55	gw	ei	1A|55		
龟	U+9F9F	gwen1A|55	gw	en	1A|55		
龟	U+9F9F	keu1A|55	k	eu	1A|55		
龟	U+9F9F	geu1A|55	g	eu	1A|55		
龠	U+9FA0	jeok4B|2	j	eok	4B|2		
龡	U+9FA1	coei1A|55	c	oei	1A|55		
龡	U+9FA1	coei3A|33	c	oei	3A|33		
龢	U+9FA2	wo1B|21	w	o	1B|21		
龣	U+9FA3	gok4Ab|3	g	ok	4Ab|3		
龤	U+9FA4	hai1B|21	h	ai	1B|21		
龥	U+9FA5	jyu3B|22	j	yu	3B|22		
龥	U+9FA5	jeok4B|2	j	eok	4B|2		
𠕇	U+20547	mou2B|13	m	ou	2B|13		
𠗟	U+205DF	mui2B|13	m	ui	2B|13		
𣿅	U+23FC5	dung2A|35	d	ung	2A|35		
𤥂	U+24942	jik4B|2	j	ik	4B|2		
𨧤	U+289E4	heng1A|55	h	eng	1A|55		
𡧛	U+219DB	fu3B|22	f	u	3B|22		
𣳈	U+23CC8	sin1A|55	s	in	1A|55		
𤤳	U+24933	ji2B|13	j	i	2B|13		
𨦪	U+289AA	jeong2B|13	j	eong	2B|13		
𠊠	U+202A0	fen1A|55	f	en	1A|55		
𦮳	U+26BB3	keai2B|13	k	eai	2B|13		
𡌅	U+21305	fet4B|2	f	et	4B|2		
𢓭	U+224ED	soen1A|55	s	oen	1A|55		
𦴩	U+26D29	soen3A|33	s	oen	3A|33		
𧪄	U+27A84	geai3A|33	g	eai	3A|33		
𣘀	U+23600	seu1A|55	s	eu	1A|55		
𤪱	U+24AB1	seu1A|55	s	eu	1A|55		
𢔓	U+22513	fung3B|22	f	ung	3B|22		
𠍾	U+2037E	jin2A|35	j	in	2A|35		
𠎀	U+20380	git4B|2	g	it	4B|2		
𠍇	U+20347	can3A|33	c	an	3A|33		
𠐟	U+2041F	liu1B|21	l	iu	1B|21		
𤦤	U+249A4	ji1B|21	j	i	1B|21		
𠒇	U+20487	mau3B|22	m	au	3B|22		
𣎴	U+233B4	den2A|35	d	en	2A|35		
𣎴	U+233B4	nip4B|2	n	ip	4B|2		
𣎴	U+233B4	lip4B|2	l	ip	4B|2		
𠯿	U+20BFF	luk4B|2	l	uk	4B|2		
𢃼	U+220FC	meai1B|21	m	eai	1B|21		
𠋥	U+202E5	meai1B|21	m	eai	1B|21		
𢔰	U+22530	meai1B|21	m	eai	1B|21		
𠖎	U+2058E	zoet4Aa|5	z	oet	4Aa|5		
𣈳	U+23233	min2B|13	m	in	2B|13		
𡦃	U+21983	wan1B|21	w	an	1B|21		
𠖳	U+205B3	met4B|2	m	et	4B|2		
𣲙	U+23C99	zoei2A|35	z	oei	2A|35		
𤪦	U+24AA6	ji1B|21	j	i	1B|21		
𣜭	U+2372D	zin2A|35	z	in	2A|35		
𦬓	U+26B13	jeu1B|21	j	eu	1B|21		
𨫞	U+28ADE	ci1B|21	c	i	1B|21		
𣾀	U+23F80	wui3B|22	w	ui	3B|22		
𠥔	U+20954	wui3B|22	w	ui	3B|22		
𣿬	U+23FEC	wui3B|22	w	ui	3B|22		
𠯢	U+20BE2						sa1A|55 a3B|22
𡜦	U+21726	wei3A|33	w	ei	3A|33		
𡛨	U+216E8	ka1A|55	k	a	1A|55		
𨚫	U+286AB	keok4Ab|3	k	eok	4Ab|3		
𡖖	U+21596	hing1A|55	h	ing	1A|55		
𡘓	U+21613	heu1B|21	h	eu	1B|21		
𨪛	U+28A9B	jyun1B|21	j	yun	1B|21		
𥝲	U+25772	wen2B|13	w	en	2B|13		
𠮏	U+20B8F	joei3B|22	j	oei	3B|22		
𣿫	U+23FEB	dip4B|2	d	ip	4B|2		
𢶣	U+22DA3	dip4B|2	d	ip	4B|2		
𠱷	U+20C77	ming1B|21	m	ing	1B|21		
𦭓	U+26B53	sei3A|33	s	ei	3A|33		
𠵴	U+20D74	ming3B|22	m	ing	3B|22		
𡜍	U+2170D	zet4B|2	z	et	4B|2		
𠻝	U+20EDD	cam1A|55	c	am	1A|55		
𠵍	U+20D4D	zat4Ab|3	z	at	4Ab|3		
𨦼	U+289BC	jin1B|21	j	in	1B|21		
𢚘	U+22698	ji3A|33	j	i	3A|33		
𡣗	U+218D7	ga1A|55	g	a	1A|55		
𤀺	U+2403A	ga1A|55	g	a	1A|55		
𤐵	U+24435	ga1A|55	g	a	1A|55		
𡂴	U+210B4	lin1B|21	l	in	1B|21		
𣊊	U+2328A	hou3B|22	h	ou	3B|22		
𨭦	U+28B66	jyun1B|21	j	yun	1B|21		
𡉏	U+2124F	ji2B|13	j	i	2B|13		
𤆥	U+241A5	wen1B|21	w	en	1B|21		
𦱾	U+26C7E	ping1B|21	p	ing	1B|21		
𡐖	U+21416	ham2B|13	h	am	2B|13		
𡑔	U+21454	kwen1A|55	kw	en	1A|55		
𤍣	U+24363	kwen1A|55	kw	en	1A|55		
𤯵	U+24BF5	jing1B|21	j	ing	1B|21		
𡈼	U+2123C	ting2A|35	t	ing	2A|35		
𪅐	U+2A150	mok4B|2	m	ok	4B|2		
𤉸	U+24278	goei1A|55	g	oei	1A|55		
𡘾	U+2163E	zong3B|22	z	ong	3B|22		
𡚒	U+21692	fen2B|13	f	en	2B|13		
𠵎	U+20D4E	gu1A|55	g	u	1A|55		
𠵎	U+20D4E	gwu1A|55	gw	u	1A|55		
𦲁	U+26C81	neai1B|21	n	eai	1B|21		
𦲁	U+26C81	leai1B|21	l	eai	1B|21		
𦴪	U+26D2A	neai2B|13	n	eai	2B|13		
𦴪	U+26D2A	leai2B|13	l	eai	2B|13		
𡟜	U+217DC	geong1A|55	g	eong	1A|55		
𡟻	U+217FB	jen1A|55	j	en	1A|55		
𡞲	U+217B2	ping1A|55	p	ing	1A|55		
𦶦	U+26DA6	no2B|13	n	o	2B|13		
𦶦	U+26DA6	lo2B|13	l	o	2B|13		
𡠨	U+21828	tei2B|13	t	ei	2B|13		
𡛕	U+216D5	tai3A|33	t	ai	3A|33		
𦹅	U+26E45	jyun2A|35	j	yun	2A|35		
𤦩	U+249A9	ok4Ab|3		ok	4Ab|3		
𤦩	U+249A9	ngok4Ab|3	ng	ok	4Ab|3		
𦾡	U+26FA1	meai2B|13	m	eai	2B|13		
𢕔	U+22554	zeong1A|55	z	eong	1A|55		
𡤑	U+21911	ceong1B|21	c	eong	1B|21		
𡚸	U+216B8	ma1A|55	m	a	1A|55		
𧨎	U+27A0E	jyun1B|21	j	yun	1B|21		
𠈄	U+20204	wan3B|22	w	an	3B|22		
𡨴	U+21A34	ning1B|21	n	ing	1B|21		
𡨴	U+21A34	ling1B|21	l	ing	1B|21		
𡨴	U+21A34	ning3B|22	n	ing	3B|22		
𡨴	U+21A34	ling3B|22	l	ing	3B|22		
𥧌	U+259CC	meai3B|22	m	eai	3B|22		
𠖥	U+205A5	cung2A|35	c	ung	2A|35		
𡭄	U+21B44	cyun3A|33	c	yun	3A|33		
𡲥	U+21CA5	seng1A|55	s	eng	1A|55		
𦬨	U+26B28	ceak4Ab|3	c	eak	4Ab|3		
𡷹	U+21DF9	jin3B|22	j	in	3B|22		
𡸷	U+21E37	keai1B|21	k	eai	1B|21		
𡺤	U+21EA4	lam1B|21	l	am	1B|21		
𤤁	U+24901	fong1A|55	f	ong	1A|55		
𢁉	U+22049	soen3A|33	s	oen	3A|33		
𢅳	U+22173	lim1B|21	l	im	1B|21		
𤒼	U+244BC	fong2A|35	f	ong	2A|35		
𠳓	U+20CD3	beai3A|33	b	eai	3A|33		
𡝱	U+21771	fen1A|55	f	en	1A|55		
𨒂	U+28482	jin1B|21	j	in	1B|21		
𠇁	U+201C1	jen2B|13	j	en	2B|13		
弢	U+2F894	tou1A|55	t	ou	1A|55		
𡌺	U+2133A	meng1B|21	m	eng	1B|21		
𦢈	U+26888	ji2B|13	j	i	2B|13		
𢏐	U+223D0	weng1B|21	w	eng	1B|21		
𢑱	U+22471	ji1B|21	j	i	1B|21		
𦹮	U+26E6E	coi2A|35	c	oi	2A|35		
𨨶	U+28A36	jyu2B|13	j	yu	2B|13		
𥉐	U+25250	hei2B|13	h	ei	2B|13		
𡽪	U+21F6A	fei1A|55	f	ei	1A|55		
𧃸	U+270F8	fei1A|55	f	ei	1A|55		
𢙨	U+22668	cyun1B|21	c	yun	1B|21		
𠊞	U+2029E	zung1A|55	z	ung	1A|55		
𨨩	U+28A29	zung1A|55	z	ung	1A|55		
𡡷	U+21877	ling1B|21	l	ing	1B|21		
𢞴	U+227B4	jen1A|55	j	en	1A|55		
𤦂	U+24982	gwok4Ab|3	gw	ok	4Ab|3		
𤦂	U+24982	gok4Ab|3	g	ok	4Ab|3		
𤦏	U+2498F	fet4Aa|5	f	et	4Aa|5		
𧩓	U+27A53	fet4Aa|5	f	et	4Aa|5		
慈	U+2F8A6	ci1B|21	c	i	1B|21		
𦻒	U+26ED2	mou3B|22	m	ou	3B|22		
𠙖	U+20656	peng1B|21	p	eng	1B|21		
𣾷	U+23FB7	kiu1B|21	k	iu	1B|21		
𢡟	U+2285F	meu3B|22	m	eu	3B|22		
𨮝	U+28B9D	doei3A|33	d	oei	3A|33		
𩥝	U+2995D	zi3A|33	z	i	3A|33		
𢦀	U+22980	zong3A|33	z	ong	3A|33		
𢣁	U+228C1	gung1A|55	g	ung	1A|55		
𠄘	U+20118	sing1B|21	s	ing	1B|21		
𡝰	U+21770	lai1A|55	l	ai	1A|55		
𢸍	U+22E0D	zen3A|33	z	en	3A|33		
𤧟	U+249DF	ting1B|21	t	ing	1B|21		
𡎎	U+2138E	sei3A|33	s	ei	3A|33		
𡟼	U+217FC	fui3A|33	f	ui	3A|33		
𢸶	U+22E36	cyut4Ab|3	c	yut	4Ab|3		
𤂌	U+2408C	kit4Ab|3	k	it	4Ab|3		
𥜝	U+2571D	kit4Ab|3	k	it	4Ab|3		
𤨨	U+24A28	men2B|13	m	en	2B|13		
𤨣	U+24A23	geu3A|33	g	eu	3A|33		
𣁾	U+2307E	deu2A|35	d	eu	2A|35		
𤥀	U+24940	do1A|55	d	o	1A|55		
𡠩	U+21829	gin1A|55	g	in	1A|55		
𣐀	U+23400	men1B|21	m	en	1B|21		
𣇷	U+231F7	fong1A|55	f	ong	1A|55		
𣇸	U+231F8	coen1A|55	c	oen	1A|55		
𣆤	U+231A4	fong2A|35	f	ong	2A|35		
𣆥	U+231A5	fong2A|35	f	ong	2A|35		
𠹵	U+20E75	an3A|33		an	3A|33		
𠹵	U+20E75	ngan3A|33	ng	an	3A|33		
𥇦	U+251E6	sik4Aa|5	s	ik	4Aa|5		
𡸽	U+21E3D	zik4B|2	z	ik	4B|2		
𣈱	U+23231	ceong3A|33	c	eong	3A|33		
𨗴	U+285F4	cim3A|33	c	im	3A|33		
𣇈	U+231C8	hiu2A|35	h	iu	2A|35		
𥌓	U+25313	cyu2B|13	c	yu	2B|13		
𢣷	U+228F7	dik4B|2	d	ik	4B|2		
𤎜	U+2439C	long2B|13	l	ong	2B|13		
𤨡	U+24A21	long2B|13	l	ong	2B|13		
𣟂	U+237C2	fun1A|55	f	un	1A|55		
𤇍	U+241CD	soet4B|2	s	oet	4B|2		
𩃭	U+290ED	cung1B|21	c	ung	1B|21		
𣏦	U+233E6	muk4B|2	m	uk	4B|2		
𦶠	U+26DA0	gen1A|55	g	en	1A|55		
𣑯	U+2346F	tou1B|21	t	ou	1B|21		
𨫟	U+28ADF	leong1B|21	l	eong	1B|21		
𣗍	U+235CD	keai1B|21	k	eai	1B|21		
𣘼	U+2363C	kei2A|35	k	ei	2A|35		
𨩊	U+28A4A	jeu1B|21	j	eu	1B|21		
𠏉	U+203C9	gon3A|33	g	on	3A|33		
𣙙	U+23659	cuk4Aa|5	c	uk	4Aa|5		
𢄪	U+2212A	leu3B|22	l	eu	3B|22		
𣜃	U+23703	jeu2B|13	j	eu	2B|13		
𩆜	U+2919C	ling1B|21	l	ing	1B|21		
𠤣	U+20923	ci3A|33	c	i	3A|33		
𢟍	U+227CD	lik4B|2	l	ik	4B|2		
𣫛	U+23ADB	ngei3B|22	ng	ei	3B|22		
𣫛	U+23ADB	ei3B|22		ei	3B|22		
𠎵	U+203B5	ngei3B|22	ng	ei	3B|22		
𠎵	U+203B5	ei3B|22		ei	3B|22		
𡥘	U+21958	hou2A|35	h	ou	2A|35		
𣭚	U+23B5A	bou3B|22	b	ou	3B|22		
𣻼	U+23EFC	hou1B|21	h	ou	1B|21		
𢒋	U+2248B	wing2B|13	w	ing	2B|13		
𤣱	U+248F1	ji2B|13	j	i	2B|13		
𦭑	U+26B51	ting1A|55	t	ing	1A|55		
𣶼	U+23DBC	fen1A|55	f	en	1A|55		
𣶽	U+23DBD	wen1B|21	w	en	1B|21		
𤆤	U+241A4	jung2A|35	j	ung	2A|35		
𤤌	U+2490C	jung2A|35	j	ung	2A|35		
𤤀	U+24900	tyun1B|21	t	yun	1B|21		
𣳉	U+23CC9	si3A|33	s	i	3A|33		
𠴲	U+20D32	dap4B|2	d	ap	4B|2		
𣇹	U+231F9	men2B|13	m	en	2B|13		
𢒑	U+22491	ceong1B|21	c	eong	1B|21		
𦴥	U+26D25	soen1A|55	s	oen	1A|55		
𦶡	U+26DA1	hou3B|22	h	ou	3B|22		
𦷫	U+26DEB	hoi2A|35	h	oi	2A|35		
𤥿	U+2497F	jik4B|2	j	ik	4B|2		
𤂅	U+24085	zing3B|22	z	ing	3B|22		
𦹲	U+26E72	wen3B|22	w	en	3B|22		
𦽴	U+26F74	zing3B|22	z	ing	3B|22		
𨬡	U+28B21	koei1B|21	k	oei	1B|21		
𣸯	U+23E2F	jeu1B|21	j	eu	1B|21		
𣾂	U+23F82	gai1A|55	g	ai	1A|55		
𣁋	U+2304B	meai1B|21	m	eai	1B|21		
𣸰	U+23E30	jim1A|55	j	im	1A|55		
𡒗	U+21497	mun2B|13	m	un	2B|13		
𤀽	U+2403D	ji2A|35	j	i	2A|35		
𩅰	U+29170	si1A|55	s	i	1A|55		
𤅄	U+24144	lim1B|21	l	im	1B|21		
𤂑	U+24091	nung1B|21	n	ung	1B|21		
𤂑	U+24091	lung1B|21	l	ung	1B|21		
𤅕	U+24155	ceu1B|21	c	eu	1B|21		
𤀹	U+24039	zoen3A|33	z	oen	3A|33		
𣿰	U+23FF0	zoen3A|33	z	oen	3A|33		
𣾴	U+23FB4	buk4B|2	b	uk	4B|2		
𤄿	U+2413F	lik4Aa|5	l	ik	4Aa|5		
𤅖	U+24156	pen1B|21	p	en	1B|21		
𤅗	U+24157	jing1B|21	j	ing	1B|21		
𤅀	U+24140	jing1B|21	j	ing	1B|21		
𦇝	U+261DD	jing1B|21	j	ing	1B|21		
𤉷	U+24277	jin1B|21	j	in	1B|21		
𤍥	U+24365	hoei2A|35	h	oei	2A|35		
𤋁	U+242C1	jeong1B|21	j	eong	1B|21		
𤑚	U+2445A	jing1B|21	j	ing	1B|21		
𤨧	U+24A27	piu3A|33	p	iu	3A|33		
𤨢	U+24A22	tan3A|33	t	an	3A|33		
𨯨	U+28BE8	heai1A|55	h	eai	1A|55		
𥘅	U+25605	si3B|22	s	i	3B|22		
𤥴	U+24974	zi3A|33	z	i	3A|33		
𣁄	U+23044	goei2A|35	g	oei	2A|35		
𤠣	U+24823	heu1B|21	h	eu	1B|21		
𨠫	U+2882B	jeu1B|21	j	eu	1B|21		
𨠄	U+28804	jeu1B|21	j	eu	1B|21		
𠰺	U+20C3A	doi3B|22	d	oi	3B|22		
𦨮	U+26A2E	doi3B|22	d	oi	3B|22		
𤇢	U+241E2	bak4B|2	b	ak	4B|2		
𡛧	U+216E7	neai2B|13	n	eai	2B|13		
𡛧	U+216E7	leai2B|13	l	eai	2B|13		
𤨤	U+24A24	zen1A|55	z	en	1A|55		
𤦷	U+249B7	jin2A|35	j	in	2A|35		
𤦍	U+2498D	pui3A|33	p	ui	3A|33		
𤧻	U+249FB	ting1B|21	t	ing	1B|21		
𤨦	U+24A26	ji1A|55	j	i	1A|55		
𠗃	U+205C3	jen1A|55	j	en	1A|55		
𢢭	U+228AD	jyu1B|21	j	yu	1B|21		
𨺲	U+28EB2	jyu2B|13	j	yu	2B|13		
𤪌	U+24A8C	keai1B|21	k	eai	1B|21		
𤅟	U+2415F	lou3B|22	l	ou	3B|22		
𤩹	U+24A79	bik4Aa|5	b	ik	4Aa|5		
𨮏	U+28B8F	can3A|33	c	an	3A|33		
𨰃	U+28C03	jing1A|55	j	ing	1A|55		
𡢞	U+2189E	jing1A|55	j	ing	1A|55		
𡦈	U+21988	gu1A|55	g	u	1A|55		
𡦈	U+21988	gwu1A|55	gw	u	1A|55		
𨻙	U+28ED9	fong2A|35	f	ong	2A|35		
𡩋	U+21A4B	ning1B|21	n	ing	1B|21		
𡩋	U+21A4B	ling1B|21	l	ing	1B|21		
𨺬	U+28EAC	gai3A|33	g	ai	3A|33		
鬔	U+9B14	pung1B|21	p	ung	1B|21		
鬕	U+9B15	ma3B|22	m	a	3B|22		
鬖	U+9B16	sam1A|55	s	am	1A|55		
鬗	U+9B17	mun1B|21	m	un	1B|21		
鬘	U+9B18	man1B|21	m	an	1B|21		
鬙	U+9B19	zeng1A|55	z	eng	1A|55		
鬚	U+9B1A	sou1A|55	s	ou	1A|55		
鬛	U+9B1B	lip4B|2	l	ip	4B|2		
鬜	U+9B1C	han1A|55	h	an	1A|55		
鬝	U+9B1D	han1A|55	h	an	1A|55		
鬞	U+9B1E	nong1B|21	n	ong	1B|21		
鬞	U+9B1E	long1B|21	l	ong	1B|21		
鬟	U+9B1F	wan1B|21	w	an	1B|21		
鬠	U+9B20	kut4Ab|3	k	ut	4Ab|3		
鬠	U+9B20	kwut4Ab|3	kw	ut	4Ab|3		
鬡	U+9B21	ning1B|21	n	ing	1B|21		
鬡	U+9B21	ling1B|21	l	ing	1B|21		
鬢	U+9B22	ben3A|33	b	en	3A|33		
鬣	U+9B23	lip4B|2	l	ip	4B|2		
鬤	U+9B24	jeong1B|21	j	eong	1B|21		
鬥	U+9B25	deu3A|33	d	eu	3A|33		
鬦	U+9B26	deu3A|33	d	eu	3A|33		
鬧	U+9B27	nau3B|22	n	au	3B|22		
鬧	U+9B27	lau3B|22	l	au	3B|22		
鬨	U+9B28	hung3A|33	h	ung	3A|33		
鬨	U+9B28	hung3B|22	h	ung	3B|22		
鬩	U+9B29	jik4Aa|5	j	ik	4Aa|5		
鬪	U+9B2A	deu3A|33	d	eu	3A|33		
鬫	U+9B2B	hem3A|33	h	em	3A|33		
鬫	U+9B2B	ham3A|33	h	am	3A|33		
鬫	U+9B2B	ham2A|35	h	am	2A|35		
鬬	U+9B2C	deu3A|33	d	eu	3A|33		
鬭	U+9B2D	deu3A|33	d	eu	3A|33		
鬮	U+9B2E	geu1A|55	g	eu	1A|55		
鬯	U+9B2F	ceong3A|33	c	eong	3A|33		
鬰	U+9B30	wet4Aa|5	w	et	4Aa|5		
鬱	U+9B31	wet4Aa|5	w	et	4Aa|5		
鬲	U+9B32	lik4B|2	l	ik	4B|2		
鬲	U+9B32	gak4Ab|3	g	ak	4Ab|3		
鬲	U+9B32	ek4Aa|5		ek	4Aa|5		
鬲	U+9B32	ngek4Aa|5	ng	ek	4Aa|5		
鬳	U+9B33	jin3B|22	j	in	3B|22		
鬴	U+9B34	fu2A|35	f	u	2A|35		
鬵	U+9B35	cem1B|21	c	em	1B|21		
鬵	U+9B35	cim1B|21	c	im	1B|21		
鬶	U+9B36	kwei1A|55	kw	ei	1A|55		
鬷	U+9B37	zung1A|55	z	ung	1A|55		
鬸	U+9B38	leu3B|22	l	eu	3B|22		
鬹	U+9B39	kwei1A|55	kw	ei	1A|55		
鬺	U+9B3A	seong1A|55	s	eong	1A|55		
鬻	U+9B3B	juk4B|2	j	uk	4B|2		
鬻	U+9B3B	zuk4Aa|5	z	uk	4Aa|5		
鬼	U+9B3C	gwei2A|35	gw	ei	2A|35		
鬽	U+9B3D	meai3B|22	m	eai	3B|22		
鬽	U+9B3D	mui3B|22	m	ui	3B|22		
鬾	U+9B3E	geai3B|22	g	eai	3B|22		
鬿	U+9B3F	keai1B|21	k	eai	1B|21		
魀	U+9B40	gai3A|33	g	ai	3A|33		
魁	U+9B41	fui1A|55	f	ui	1A|55		
魂	U+9B42	wen1B|21	w	en	1B|21		
魃	U+9B43	bet4B|2	b	et	4B|2		
魃	U+9B43	bat4B|2	b	at	4B|2		
魄	U+9B44	pak4Ab|3	p	ak	4Ab|3		
魄	U+9B44	tok4Ab|3	t	ok	4Ab|3		
魄	U+9B44	bok4B|2	b	ok	4B|2		
魅	U+9B45	meai3B|22	m	eai	3B|22		
魅	U+9B45	mui3B|22	m	ui	3B|22		
魆	U+9B46	wet4Aa|5	w	et	4Aa|5		
魆	U+9B46	fet4Aa|5	f	et	4Aa|5		
魇	U+9B47	jim2A|35	j	im	2A|35		
魈	U+9B48	siu1A|55	s	iu	1A|55		
魉	U+9B49	leong2B|13	l	eong	2B|13		
魊	U+9B4A	wik4B|2	w	ik	4B|2		
魋	U+9B4B	toei1B|21	t	oei	1B|21		
魋	U+9B4B	zoei1A|55	z	oei	1A|55		
魌	U+9B4C	heai1A|55	h	eai	1A|55		
魍	U+9B4D	mong2B|13	m	ong	2B|13		
魎	U+9B4E	leong2B|13	l	eong	2B|13		
魏	U+9B4F	ngei3B|22	ng	ei	3B|22		
魏	U+9B4F	ei3B|22		ei	3B|22		
魐	U+9B50	gam1A|55	g	am	1A|55		
魑	U+9B51	ci1A|55	c	i	1A|55		
魒	U+9B52	piu1A|55	p	iu	1A|55		
魓	U+9B53	bet4Aa|5	b	et	4Aa|5		
魔	U+9B54	mo1A|55	m	o	1A|55		
魕	U+9B55	keai1B|21	k	eai	1B|21		
魖	U+9B56	hoei1A|55	h	oei	1A|55		
魗	U+9B57	ceu1B|21	c	eu	1B|21		
魗	U+9B57	ceu2A|35	c	eu	2A|35		
魘	U+9B58	jim2A|35	j	im	2A|35		
魙	U+9B59	zim3B|22	z	im	3B|22		
魚	U+9B5A	jyu1B|21	j	yu	1B|21		
魚	U+9B5A	jyu2A|35	j	yu	2A|35		
魛	U+9B5B	dou1A|55	d	ou	1A|55		
魜	U+9B5C	jen1B|21	j	en	1B|21		
魝	U+9B5D	git4Ab|3	g	it	4Ab|3		
魞	U+9B5E	jep4B|2	j	ep	4B|2		
魟	U+9B5F	hung1B|21	h	ung	1B|21		
魟	U+9B5F	gung1A|55	g	ung	1A|55		
魠	U+9B60	tok4Ab|3	t	ok	4Ab|3		
魡	U+9B61	diu3A|33	d	iu	3A|33		
魢	U+9B62	geai2A|35	g	eai	2A|35		
魣	U+9B63	jyu1B|21	j	yu	1B|21		
魤	U+9B64	ngo1B|21	ng	o	1B|21		
魤	U+9B64	o1B|21		o	1B|21		
魥	U+9B65	ngep4B|2	ng	ep	4B|2		
魥	U+9B65	ep4B|2		ep	4B|2		
魦	U+9B66	sa1A|55	s	a	1A|55		
魧	U+9B67	hong1B|21	h	ong	1B|21		
魨	U+9B68	tyun1B|21	t	yun	1B|21		
魩	U+9B69	mut4B|2	m	ut	4B|2		
魪	U+9B6A	gai3A|33	g	ai	3A|33		
魫	U+9B6B	sem2A|35	s	em	2A|35		
魬	U+9B6C	ban2A|35	b	an	2A|35		
魭	U+9B6D	jyun1B|21	j	yun	1B|21		
魮	U+9B6E	peai1B|21	p	eai	1B|21		
魯	U+9B6F	lou2B|13	l	ou	2B|13		
魰	U+9B70	men1B|21	m	en	1B|21		
魱	U+9B71	wu1B|21	w	u	1B|21		
魲	U+9B72	lou1B|21	l	ou	1B|21		
魳	U+9B73	zap4Ab|3	z	ap	4Ab|3		
魴	U+9B74	fong1B|21	f	ong	1B|21		
魵	U+9B75	fen1B|21	f	en	1B|21		
魵	U+9B75	fen2B|13	f	en	2B|13		
魶	U+9B76	nap4B|2	n	ap	4B|2		
魶	U+9B76	lap4B|2	l	ap	4B|2		
魷	U+9B77	jeu1B|21	j	eu	1B|21		
魷	U+9B77	jeu2A|35	j	eu	2A|35		
魸	U+9B78	pin3A|33	p	in	3A|33		
魹	U+9B79	mou1B|21	m	ou	1B|21		
魺	U+9B7A	ho1B|21	h	o	1B|21		
魻	U+9B7B	hap4B|2	h	ap	4B|2		
魼	U+9B7C	koei1A|55	k	oei	1A|55		
魽	U+9B7D	ham1B|21	h	am	1B|21		
魾	U+9B7E	peai1A|55	p	eai	1A|55		
魾	U+9B7E	peai1B|21	p	eai	1B|21		
魿	U+9B7F	ling1B|21	l	ing	1B|21		
鮀	U+9B80	to1B|21	t	o	1B|21		
鮁	U+9B81	bet4B|2	b	et	4B|2		
鮁	U+9B81	bet4Ab|3	b	et	4Ab|3		
鮁	U+9B81	but4Ab|3	b	ut	4Ab|3		
鮂	U+9B82	ceu1B|21	c	eu	1B|21		
鮃	U+9B83	ping1B|21	p	ing	1B|21		
鮄	U+9B84	fet4Aa|5	f	et	4Aa|5		
鮄	U+9B84	fet4B|2	f	et	4B|2		
鮅	U+9B85	bit4Aa|5	b	it	4Aa|5		
鮆	U+9B86	cei2B|13	c	ei	2B|13		
鮆	U+9B86	zei1A|55	z	ei	1A|55		
鮆	U+9B86	ci2A|35	c	i	2A|35		
鮇	U+9B87	meai3B|22	m	eai	3B|22		
鮈	U+9B88	koei1A|55	k	oei	1A|55		
鮉	U+9B89	diu1A|55	d	iu	1A|55		
鮊	U+9B8A	bak4B|2	b	ak	4B|2		
鮊	U+9B8A	bet4B|2	b	et	4B|2		
鮋	U+9B8B	jeu1B|21	j	eu	1B|21		
鮌	U+9B8C	gwen2A|35	gw	en	2A|35		
鮍	U+9B8D	peai1B|21	p	eai	1B|21		
鮎	U+9B8E	nim1B|21	n	im	1B|21		
鮎	U+9B8E	lim1B|21	l	im	1B|21		
鮏	U+9B8F	sing1A|55	s	ing	1A|55		
鮐	U+9B90	toi1B|21	t	oi	1B|21		
鮑	U+9B91	bau1A|55	b	au	1A|55		
鮑	U+9B91	bau3B|22	b	au	3B|22		
鮒	U+9B92	fu3B|22	f	u	3B|22		
鮓	U+9B93	za2A|35	z	a	2A|35		
鮓	U+9B93	za3A|33	z	a	3A|33		
鮔	U+9B94	goei3B|22	g	oei	3B|22		
鮕	U+9B95	gu1A|55	g	u	1A|55		
鮕	U+9B95	gwu1A|55	gw	u	1A|55		
鮖	U+9B96	seak4B|2	s	eak	4B|2		
鮗	U+9B97	dung1A|55	d	ung	1A|55		
鮘	U+9B98	doi3B|22	d	oi	3B|22		
鮙	U+9B99	tap4Ab|3	t	ap	4Ab|3		
鮚	U+9B9A	git4Ab|3	g	it	4Ab|3		
鮛	U+9B9B	suk4Aa|5	s	uk	4Aa|5		
鮜	U+9B9C	heu3B|22	h	eu	3B|22		
鮝	U+9B9D	seong2A|35	s	eong	2A|35		
鮞	U+9B9E	ji1B|21	j	i	1B|21		
鮟	U+9B9F	on1A|55		on	1A|55		
鮟	U+9B9F	ngon1A|55	ng	on	1A|55		
鮟	U+9B9F	jin2A|35	j	in	2A|35		
鮠	U+9BA0	wei1B|21	w	ei	1B|21		
鮡	U+9BA1	siu3B|22	s	iu	3B|22		
鮢	U+9BA2	zyu1A|55	z	yu	1A|55		
鮣	U+9BA3	jen3A|33	j	en	3A|33		
鮤	U+9BA4	lit4B|2	l	it	4B|2		
鮥	U+9BA5	lok4B|2	l	ok	4B|2		
